20220406 400 5 1
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
599 749 889 1010 1106 
1170 1198 1189 1142 1062 
952 820 675 524 379 
247 137 57 10 1 
29 93 189 310 450 
